URL,Provider,Continent,Country,City,Latitude,Longitude
korea-south.azure.cloudharmony.net,Microsoft,AS,KR,Busan,35.100299999999997168,129.04419999999998936
us-central.azure.cloudharmony.net,Microsoft,NA,US,Des Moines,41.601500000000001477,-93.612700000000003798
us-east.azure.cloudharmony.net,Microsoft,NA,US,Washington,38.709499999999998465,-78.153899999999993041
us-east2.azure.cloudharmony.net,Microsoft,NA,US,Boydton,36.653399999999997759,-78.375
us-west.azure.cloudharmony.net,Microsoft,NA,US,San Jose,37.338799999999999102,-121.89140000000000441
us-northcentral.azure.cloudharmony.net,Microsoft,NA,US,Chicago,41.848300000000001829,-87.651700000000005276
us-southcentral.azure.cloudharmony.net,Microsoft,NA,US,San Antonio,29.422100000000000363,-98.492599999999995933
brazil-south.azure.cloudharmony.net,Microsoft,SA,BR,Campinas,-22.90350000000000108,-47.056499999999999773
canada-central.azure.cloudharmony.net,Microsoft,NA,CA,Toronto,43.664400000000000547,-79.419499999999999318
canada-east.azure.cloudharmony.net,Microsoft,NA,CA,Quebec,46.794899999999998384,-71.246999999999999888
us-westcentral.azure.cloudharmony.net,Microsoft,NA,US,Cheyenne,41.143700000000002605,-104.81170000000000186
eu-north.azure.cloudharmony.net,Microsoft,EU,IE,Dublin,53.333100000000001729,-6.2488999999999998991
eu-west.azure.cloudharmony.net,Microsoft,EU,NL,Amsterdam,52.375900000000001456,4.8974999999999999644
uk-south.azure.cloudharmony.net,Microsoft,EU,GB,London,51.516399999999997307,-0.092999999999999999333
uk-west.azure.cloudharmony.net,Microsoft,EU,GB,Cardiff,51.521000000000000797,-3.2036999999999999921
france-central.azure.cloudharmony.net,Microsoft,EU,FR,Paris,48.860700000000001352,2.3281000000000000582
france-south.azure.cloudharmony.net,Microsoft,EU,FR,Marseille,43.285400000000002762,5.3761000000000001008
germany-westcentral.azure.cloudharmony.net,Microsoft,EU,DE,Frankfurt am Main,50.118800000000000237,8.6843000000000003524
germany-north.azure.cloudharmony.net,Microsoft,EU,DE,Berlin,52.515500000000002954,13.406200000000000116
switzerland-west.azure.cloudharmony.net,Microsoft,EU,CH,Geneva,46.195599999999998885,6.1481000000000003424
switzerland-north.azure.cloudharmony.net,Microsoft,EU,CH,Zurich,47.36670000000000158,8.5500000000000007105
norway-east.azure.cloudharmony.net,Microsoft,EU,NO,Oslo,59.918799999999997397,10.727899999999999991
norway-west.azure.cloudharmony.net,Microsoft,EU,NO,Stavanger,58.966700000000003001,5.75
southafrica-north.azure.cloudharmony.net,Microsoft,AF,ZA,Johannesburg,-26.230899999999998327,28.058299999999999131
southafrica-west.azure.cloudharmony.net,Microsoft,AF,ZA,Cape Town,-33.925800000000002399,18.423200000000001352
uae-central.azure.cloudharmony.net,Microsoft,AS,AE,Dubai,25.263300000000000976,55.30870000000000175
uae-north.azure.cloudharmony.net,Microsoft,AS,AE,Dubai,25.263300000000000976,55.30870000000000175
us-east-2.lightsail.cloudharmony.net,Amazon Lightsail,NA,US,Columbus,39.965299999999999158,-83.023499999999998523
us-east-1.lightsail.cloudharmony.net,Amazon Lightsail,NA,US,Fairfax,38.875399999999999066,-77.385300000000000865
ap-southeast-1.lightsail.cloudharmony.net,Amazon Lightsail,AS,SG,Singapore,1.2928999999999999381,103.85469999999999402
ap-southeast-2.lightsail.cloudharmony.net,Amazon Lightsail,OC,AU,Sydney,-33.859099999999997976,151.20019999999999527
ap-northeast-2.lightsail.cloudharmony.net,Amazon Lightsail,AS,KR,Incheon,37.456200000000002604,126.72880000000000677
eu-west-1.lightsail.cloudharmony.net,Amazon Lightsail,EU,IE,Dublin,53.333100000000001729,-6.2488999999999998991
eu-west-2.lightsail.cloudharmony.net,Amazon Lightsail,EU,GB,London,51.516399999999997307,-0.092999999999999999333
eu-west-3.lightsail.cloudharmony.net,Amazon Lightsail,EU,FR,Paris,48.860700000000001352,2.3281000000000000582
